"""20 Microns Limited""","""20MICRONS"""
"""Atlas Cycles (Haryana) Limited""","""ATLASCYCLE"""
"""Atul Limited""","""ATUL"""
"""Atul Auto Limited""","""ATULAUTO"""
"""AU Small Finance Bank Limited""","""AUBANK"""
"""Aurionpro Solutions Limited""","""AURIONPRO"""
"""Aurobindo Pharma Limited""","""AUROPHARMA"""
"""Ausom Enterprise Limited""","""AUSOMENT"""
"""Austral Coke & Projects Limited""","""AUSTRAL"""
"""Automotive Axles Limited""","""AUTOAXLES"""
"""Autoline Industries Limited""","""AUTOIND"""
"""Autolite (India) Limited""","""AUTOLITIND"""
"""Avanti Feeds Limited""","""AVANTIFEED"""
"""AVT Natural Products Limited""","""AVTNPL"""
"""Axis Bank Limited""","""AXISBANK"""
"""AXISCADES Engineering Technologies Limited""","""AXISCADES"""
"""AYM Syntex Limited""","""AYMSYNTEX"""
"""Bafna Pharmaceuticals Limited""","""BAFNAPHARM"""
"""B.A.G Films and Media Limited""","""BAGFILMS"""
"""Bajaj Auto Limited""","""BAJAJ-AUTO"""
"""Bajaj Corp Limited""","""BAJAJCORP"""
"""Bajaj Electricals Limited""","""BAJAJELEC"""
"""Bajaj Finserv Limited""","""BAJAJFINSV"""
"""Bajaj Hindusthan Sugar Limited""","""BAJAJHIND"""
"""Bajaj Holdings & Investment Limited""","""BAJAJHLDNG"""
"""Bajaj Finance Limited""","""BAJFINANCE"""
"""Balaji Telefilms Limited""","""BALAJITELE"""
"""Balaji Amines Limited""","""BALAMINES"""
"""Balkrishna Paper Mills Limited""","""BALKRISHNA"""
"""Balkrishna Industries Limited""","""BALKRISIND"""
"""Ballarpur Industries Limited""","""BALLARPUR"""
"""Balmer Lawrie & Company Limited""","""BALMLAWRIE"""
"""Bal Pharma Limited""","""BALPHARMA"""
"""Balrampur Chini Mills Limited""","""BALRAMCHIN"""
"""Banaras Beads Limited""","""BANARBEADS"""
"""Bannari Amman Sugars Limited""","""BANARISUG"""
"""Banco Products (I) Limited""","""BANCOINDIA"""
"""Bang Overseas Limited""","""BANG"""
"""Bank of Baroda""","""BANKBARODA"""
"""Bank of India""","""BANKINDIA"""
"""Banswara Syntex Limited""","""BANSWRAS"""
"""Bartronics India Limited""","""BARTRONICS"""
"""BASF India Limited""","""BASF"""
"""Bannari Amman Spinning Mills Limited""","""BASML"""
"""Bata India Limited""","""BATAINDIA"""
"""Bayer Cropscience Limited""","""BAYERCROP"""
"""Bharat Bijlee Limited""","""BBL"""
"""Bombay Burmah Trading Corporation Limited""","""BBTC"""
"""Beardsell Limited""","""BEARDSELL"""
"""Bedmutha Industries Limited""","""BEDMUTHA"""
"""Bharat Electronics Limited""","""BEL"""
"""BEML Limited""","""BEML"""
"""Bhansali Engineering Polymers Limited""","""BEPL"""
"""Berger Paints (I) Limited""","""BERGEPAINT"""
"""BF Investment Limited""","""BFINVEST"""
"""BF Utilities Limited""","""BFUTILITIE"""
"""Bharatiya Global Infomedia Limited""","""BGLOBAL"""
"""BGR Energy Systems Limited""","""BGRENERGY"""
"""Bhageria Industries Limited""","""BHAGERIA"""
"""Bhagyanagar India Limited""","""BHAGYANGR"""
"""Bhandari Hosiery Exports Limited""","""BHANDARI"""
"""Bharat Financial Inclusion Limited""","""BHARATFIN"""
"""Bharat Forge Limited""","""BHARATFORG"""
"""Bharat Gears Limited""","""BHARATGEAR"""
"""Bharati Defence and Infrastructure Limited""","""BHARATIDIL"""
"""Bharat Rasayan Limited""","""BHARATRAS"""
"""Bharat Wire Ropes Limited""","""BHARATWIRE"""
"""Bharti Airtel Limited""","""BHARTIARTL"""
"""Bharat Heavy Electricals Limited""","""BHEL"""
"""Bhushan Steel Limited""","""BHUSANSTL"""
"""Bigbloc Construction Limited""","""BIGBLOC"""
"""Bhartiya International Limited""","""BIL"""
"""Bil Energy Systems Limited""","""BILENERGY"""
"""Bilpower  Limited""","""BILPOWER"""
"""Binani Industries Limited""","""BINANIIND"""
"""Oswal Chemicals & Fertilizers Limited""","""BINDALAGRO"""
"""Biocon Limited""","""BIOCON"""
"""Birla Cable Limited""","""BIRLACABLE"""
"""Birla Corporation Limited""","""BIRLACORPN"""
"""Aditya Birla Money Limited""","""BIRLAMONEY"""
"""BLB Limited""","""BLBLIMITED"""
"""Bliss GVS Pharma Limited""","""BLISSGVS"""
"""B. L. Kashyap and Sons Limited""","""BLKASHYAP"""
"""BLS International Services Limited""","""BLS"""
"""Blue Blends (I) Limited""","""BLUEBLENDS"""
"""Blue Coast Hotels Limited""","""BLUECOAST"""
"""Blue Dart Express Limited""","""BLUEDART"""
"""Blue Star Limited""","""BLUESTARCO"""
"""Bodal Chemicals Limited""","""BODALCHEM"""
"""Bombay Dyeing & Mfg Company Limited""","""BOMDYEING"""
"""Bosch Limited""","""BOSCHLTD"""
"""Bharat Petroleum Corporation Limited""","""BPCL"""
"""BPL Limited""","""BPL"""
"""Bombay Rayon Fashions Limited""","""BRFL"""
"""Brigade Enterprises Limited""","""BRIGADE"""
"""Britannia Industries Limited""","""BRITANNIA"""
"""Brooks Laboratories Limited""","""BROOKS"""
"""BSE Limited""","""BSE"""
"""BSEL Infrastructure Realty Limited""","""BSELINFRA"""
"""BSL Limited""","""BSL"""
"""BS Limited""","""BSLIMITED"""
"""Burnpur Cement Limited""","""BURNPUR"""
"""Butterfly Gandhimathi Appliances Limited""","""BUTTERFLY"""
"""Barak Valley Cements Limited""","""BVCL"""
"""The Byke Hospitality Ltd""","""BYKE"""
"""The Byke Hospitality Ltd""","""BYKE"""
"""Cadila Healthcare Limited""","""CADILAHC"""
"""California Software Company Limited""","""CALSOFT"""
"""California Software Company Limited""","""CALSOFT"""
"""Camlin Fine Sciences Limited""","""CAMLINFINE"""
"""Canara Bank""","""CANBK"""
"""C & C Constructions Limited""","""CANDC"""
"""Can Fin Homes Limited""","""CANFINHOME"""
"""Cantabil Retail India Limited""","""CANTABIL"""
"""Capital First Limited""","""CAPF"""
"""Caplin Point Laboratories Limited""","""CAPLIPOINT"""
"""Capital Trust Limited""","""CAPTRUST"""
"""Carborundum Universal Limited""","""CARBORUNIV"""
"""Career Point Limited""","""CAREERP"""
"""CARE Ratings Limited""","""CARERATING"""
"""Castex Technologies Limited""","""CASTEXTECH"""
"""Castrol India Limited""","""CASTROLIND"""
"""Consolidated Construction Consortium Limited""","""CCCL"""
"""Country Club Hospitality & Holidays Limited""","""CCHHL"""
"""CCL Products (India) Limited""","""CCL"""
"""CCL Products (India) Limited""","""CCL"""
"""Central Depository Services (India) Limited""","""CDSL"""
"""CEAT Limited""","""CEATLTD"""
"""Commercial Engineers & Body Builders Co Limited""","""CEBBCO"""
"""Celebrity Fashions Limited""","""CELEBRITY"""
"""Celestial Biolabs Limited""","""CELESTIAL"""
"""Century Enka Limited""","""CENTENKA"""
"""Century Extrusions Limited""","""CENTEXT"""
"""Central Bank of India""","""CENTRALBK"""
"""Centum Electronics Limited""","""CENTUM"""
"""Century Plyboards (India) Limited""","""CENTURYPLY"""
"""Century Textiles & Industries Limited""","""CENTURYTEX"""
"""Cera Sanitaryware Limited""","""CERA"""
"""Cerebra Integrated Technologies Limited""","""CEREBRAINT"""
"""CESC Limited""","""CESC"""
"""Capri Global Capital Limited""","""CGCL"""
"""CG Power and Industrial Solutions Limited""","""CGPOWER"""
"""Chambal Fertilizers & Chemicals Limited""","""CHAMBLFERT"""
"""Chennai Petroleum Corporation Limited""","""CHENNPETRO"""
"""Cholamandalam Investment and Finance Company Limited""","""CHOLAFIN"""
"""Chromatic India Limited""","""CHROMATIC"""
"""Cigniti Technologies Limited""","""CIGNITITEC"""
"""Cimmco Limited""","""CIMMCO"""
"""Cineline India Limited""","""CINELINE"""
"""Cinevista Limited""","""CINEVISTA"""
"""Cipla Limited""","""CIPLA"""
"""CL Educate Limited""","""CLEDUCATE"""
"""Clariant Chemicals (India) Limited""","""CLNINDIA"""
"""CMI Limited""","""CMICABLES"""
"""CIL Nova Petrochemicals Limited""","""CNOVAPETRO"""
"""Coal India Limited""","""COALINDIA"""
"""Coffee Day Enterprises Limited""","""COFFEEDAY"""
"""Colgate Palmolive (India) Limited""","""COLPAL"""
"""Compuage Infocom Limited""","""COMPINFO"""
"""Compucom Software Limited""","""COMPUSOFT"""
"""Container Corporation of India Limited""","""CONCOR"""
"""Consolidated Finvest & Holdings Limited""","""CONSOFINVT"""
"""Control Print Limited""","""CONTROLPR"""
"""Coral India Finance & Housing Limited""","""CORALFINAC"""
"""Cords Cable Industries Limited""","""CORDSCABLE"""
"""Coromandel International Limited""","""COROMANDEL"""
"""Corporation Bank""","""CORPBANK"""
"""Cosmo Films Limited""","""COSMOFILMS"""
"""Country Condo's Limited""","""COUNCODOS"""
"""Cox & Kings Limited""","""COX&KINGS"""
"""Creative Eye Limited""","""CREATIVEYE"""
"""Crest Ventures Limited""","""CREST"""
"""CRISIL Limited""","""CRISIL"""
"""Crompton Greaves Consumer Electricals Limited""","""CROMPTON"""
"""Cambridge Technology Enterprises Limited""","""CTE"""
"""City Union Bank Limited""","""CUB"""
"""Cubex Tubings Limited""","""CUBEXTUB"""
"""Cummins India Limited""","""CUMMINSIND"""
"""Cupid Limited""","""CUPID"""
"""Cura Technologies Limited""","""CURATECH"""
"""Cyber Media (India) Limited""","""CYBERMEDIA"""
"""Cybertech Systems And Software Limited""","""CYBERTECH"""
"""Cyient Limited""","""CYIENT"""
"""LT Foods Limited""","""DAAWAT"""
"""Dabur India Limited""","""DABUR"""
"""Dalmia Bharat Limited""","""DALMIABHA"""
"""Dalmia Bharat Sugar and Industries Limited""","""DALMIASUG"""
"""Damodar Industries Limited""","""DAMODARIND"""
"""Datamatics Global Services Limited""","""DATAMATICS"""
"""D.B.Corp Limited""","""DBCORP"""
"""Dilip Buildcon Limited""","""DBL"""
"""D B Realty Limited""","""DBREALTY"""
"""DB (International) Stock Brokers Limited""","""DBSTOCKBRO"""
"""DCB Bank Limited""","""DCBBANK"""
"""DCM  Limited""","""DCM"""
"""DCM Shriram Limited""","""DCMSHRIRAM"""
"""DCW Limited""","""DCW"""
"""Deccan Cements Limited""","""DECCANCE"""
"""Deepak Fertilizers and Petrochemicals Corporation Limited""","""DEEPAKFERT"""
"""Deepak Nitrite Limited""","""DEEPAKNTR"""
"""Deep Industries Limited""","""DEEPIND"""
"""Delta Corp Limited""","""DELTACORP"""
"""Delta Magnets Limited""","""DELTAMAGNT"""
"""Den Networks Limited""","""DEN"""
"""Dena Bank""","""DENABANK"""
"""De Nora India Limited""","""DENORA"""
"""DFM Foods Limited""","""DFMFOODS"""
"""Dhampur Sugar Mills Limited""","""DHAMPURSUG"""
"""Dhanlaxmi Bank Limited""","""DHANBANK"""
"""Dhanuka Agritech Limited""","""DHANUKA"""
"""Dharani Sugars & Chemicals Limited""","""DHARSUGAR"""
"""Dewan Housing Finance Corporation Limited""","""DHFL"""
"""Dhunseri Investments Limited""","""DHUNINV"""
"""Diamond Power Infra Ltd""","""DIAPOWER"""
"""DIC India Limited""","""DICIND"""
"""Digjam Limited""","""DIGJAMLTD"""
"""Dish TV India Limited""","""DISHTV"""
"""Divi's Laboratories Limited""","""DIVISLAB"""
"""DLF Limited""","""DLF"""
"""D-Link (India) Limited""","""DLINKINDIA"""
"""Avenue Supermarts Limited""","""DMART"""
"""Dollar Industries Limited""","""DOLLAR"""
"""Dolphin Offshore Enterprises (India) Limited""","""DOLPHINOFF"""
"""Donear Industries Limited""","""DONEAR"""
"""Dhunseri Petrochem Limited""","""DPL"""
"""DPSC Limited""","""DPSCLTD"""
"""DQ Entertainment (International) Limited""","""DQE"""
"""Dredging Corporation of India Limited""","""DREDGECORP"""
"""Dr. Reddy's Laboratories Limited""","""DRREDDY"""
"""DS Kulkarni Developers Limited""","""DSKULKARNI"""
"""Dynacons Systems & Solutions Limited""","""DSSL"""
"""Dhunseri Tea & Industries Limited""","""DTIL"""
"""Ducon Infratechnologies Limited""","""DUCON"""
"""Dwarikesh Sugar Industries Limited""","""DWARKESH"""
"""Dynamatic Technologies Limited""","""DYNAMATECH"""
"""Eastern Silk Industries Limited""","""EASTSILK"""
"""Easun Reyrolle Limited""","""EASUNREYRL"""
"""ECE Industries Limited""","""ECEIND"""
"""eClerx Services Limited""","""ECLERX"""
"""Edelweiss Financial Services Limited""","""EDELWEISS"""
"""Empee Distilleries Limited""","""EDL"""
"""Educomp Solutions Limited""","""EDUCOMP"""
"""Eicher Motors Limited""","""EICHERMOT"""
"""EID Parry India Limited""","""EIDPARRY"""
"""EIH Associated Hotels Limited""","""EIHAHOTELS"""
"""EIH Limited""","""EIHOTEL"""
"""Eimco Elecon (India) Limited""","""EIMCOELECO"""
"""Everest Kanto Cylinder Limited""","""EKC"""
"""E-Land Apparel Limited""","""ELAND"""
"""Elecon Engineering Company Limited""","""ELECON"""
"""Electrosteel Castings Limited""","""ELECTCAST"""
"""Electrotherm (India) Limited""","""ELECTHERM"""
"""Elgi Equipments Limited""","""ELGIEQUIP"""
"""Elgi Rubber Company Limited""","""ELGIRUBCO"""
"""Emami Infrastructure Limited""","""EMAMIINFRA"""
"""Emami Limited""","""EMAMILTD"""
"""Emco Limited""","""EMCO"""
"""Emkay Global Financial Services Limited""","""EMKAY"""
"""Emmbi Industries Limited""","""EMMBI"""
"""Endurance Technologies Limited""","""ENDURANCE"""
"""Energy Development Company Limited""","""ENERGYDEV"""
"""Engineers India Limited""","""ENGINERSIN"""
"""Entertainment Network (India) Limited""","""ENIL"""
"""Eon Electric Limited""","""EON"""
"""Equitas Holdings Limited""","""EQUITAS"""
"""Equitas Holdings Limited""","""EQUITAS"""
"""Eris Lifesciences Limited""","""ERIS"""
"""Eros International Media Limited""","""EROSMEDIA"""
"""Esab India Limited""","""ESABINDIA"""
"""Escorts Limited""","""ESCORTS"""
"""Electrosteel Steels Limited""","""ESL"""
"""Essar Shipping Limited""","""ESSARSHPNG"""
"""Ess Dee Aluminium Limited""","""ESSDEE"""
"""Essel Propack Limited""","""ESSELPACK"""
"""Ester Industries Limited""","""ESTER"""
"""Euro Ceramics Limited""","""EUROCERA"""
"""Euro Multivision Limited""","""EUROMULTI"""
"""Eurotex Industries and Exports Limited""","""EUROTEXIND"""
"""Eveready Industries India Limited""","""EVEREADY"""
"""Everest Industries Limited""","""EVERESTIND"""
"""Excel Realty N Infra Limited""","""EXCEL"""
"""Excel Crop Care Limited""","""EXCELCROP"""
"""Excel Industries Limited""","""EXCELINDUS"""
"""Exide Industries Limited""","""EXIDEIND"""
"""Fertilizers and Chemicals Travancore Limited""","""FACT"""
"""FAG Bearings India Limited""","""FAGBEARING"""
"""Fairchem Speciality Limited""","""FAIRCHEM"""
"""Fineotex Chemical Limited""","""FCL"""
"""Future Consumer Limited""","""FCONSUMER"""
"""FCS Software Solutions Limited""","""FCSSOFT"""
"""FDC Limited""","""FDC"""
"""Fedders Electric and Engineering Limited""","""FEDDERELEC"""
"""The Federal Bank  Limited""","""FEDERALBNK"""
"""Future Enterprises Limited""","""FEL"""
"""Future Enterprises Limited""","""FELDVR"""
"""Fiem Industries Limited""","""FIEMIND"""
"""Filatex India Limited""","""FILATEX"""
"""Finolex Cables Limited""","""FINCABLES"""
"""Finolex Industries Limited""","""FINPIPE"""
"""First Winner Industries Limited""","""FIRSTWIN"""
"""Flexituff International Limited""","""FLEXITUFF"""
"""Future Lifestyle Fashions Limited""","""FLFL"""
"""Federal-Mogul Goetze (India) Limited.""","""FMGOETZE"""
"""Future Market Networks Limited""","""FMNL"""
"""Fortis Healthcare Limited""","""FORTIS"""
"""Foseco India Limited""","""FOSECOIND"""
"""Future Retail Limited""","""FRETAIL"""
"""Firstsource Solutions Limited""","""FSL"""
"""Gabriel India Limited""","""GABRIEL"""
"""Gujarat Ambuja Exports Limited""","""GAEL"""
"""GAIL (India) Limited""","""GAIL"""
"""Gyscoal Alloys Limited""","""GAL"""
"""Gallantt Metal Limited""","""GALLANTT"""
"""Gallantt Ispat Limited""","""GALLISPAT"""
"""Gammon Infrastructure Projects Limited""","""GAMMNINFRA"""
"""Gammon India Limited""","""GAMMONIND"""
"""Gandhi Special Tubes Limited""","""GANDHITUBE"""
"""Ganesha Ecosphere Limited""","""GANECOS"""
"""Ganesh Housing Corporation Limited""","""GANESHHOUC"""
"""Gangotri Textiles Limited""","""GANGOTRI"""
"""Garden Silk Mills Limited""","""GARDENSILK"""
"""Garware  Wall Ropes Limited""","""GARWALLROP"""
"""GATI Limited""","""GATI"""
"""Gayatri Projects Limited""","""GAYAPROJ"""
"""Gateway Distriparks Limited""","""GDL"""
"""GeeCee Ventures Limited""","""GEECEE"""
"""Gemini Communication Limited""","""GEMINI"""
"""Genesys International Corporation Limited""","""GENESYS"""
"""Genus Paper & Boards Limited""","""GENUSPAPER"""
"""Genus Power Infrastructures Limited""","""GENUSPOWER"""
"""Geojit Financial Services Limited""","""GEOJITFSL"""
"""GE Power India Limited""","""GEPIL"""
"""The Great Eastern Shipping Company Limited""","""GESHIP"""
"""GE T&D India Limited""","""GET&D"""
"""GHCL Limited""","""GHCL"""
"""GIC Housing Finance Limited""","""GICHSGFIN"""
"""Gillanders Arbuthnot & Company Limited""","""GILLANDERS"""
"""Gillette India Limited""","""GILLETTE"""
"""Ginni Filaments Limited""","""GINNIFILA"""
"""Gujarat Industries Power Company Limited""","""GIPCL"""
"""GI Engineering Solutions Limited""","""GISOLUTION"""
"""Gitanjali Gems Limited""","""GITANJALI"""
"""GKW Limited""","""GKWLIMITED"""
"""GlaxoSmithKline Pharmaceuticals Limited""","""GLAXO"""
"""Glenmark Pharmaceuticals Limited""","""GLENMARK"""
"""Gujarat Lease Financing Limited""","""GLFL"""
"""Global Vectra Helicorp Limited""","""GLOBALVECT"""
"""Global Offshore Services Limited""","""GLOBOFFS"""
"""Globus Spirits Limited""","""GLOBUSSPR"""
"""GM Breweries Limited""","""GMBREW"""
"""Gujarat Mineral Development Corporation Limited""","""GMDCLTD"""
"""GMR Infrastructure Limited""","""GMRINFRA"""
"""GNA Axles Limited""","""GNA"""
"""Gujarat Narmada Valley Fertilizers and Chemicals Limited""","""GNFC"""
"""Goa Carbon Limited""","""GOACARBON"""
"""GOCL Corporation Limited""","""GOCLCORP"""
"""Godfrey Phillips India Limited""","""GODFRYPHLP"""
"""Godrej Consumer Products Limited""","""GODREJCP"""
"""Godrej Industries Limited""","""GODREJIND"""
"""Godrej Properties Limited""","""GODREJPROP"""
"""Goenka Diamond and Jewels Limited""","""GOENKA"""
"""Gokaldas Exports Limited""","""GOKEX"""
"""Gokul Refoils and Solvent Limited""","""GOKUL"""
"""Gokul Agro Resources Limited""","""GOKULAGRO"""
"""Golden Tobacco Limited""","""GOLDENTOBC"""
"""Goldiam International Limited""","""GOLDIAM"""
"""Goldstone Infratech Limited""","""GOLDINFRA"""
"""Goldstone Technologies Limited""","""GOLDTECH"""
"""Goodluck India Limited""","""GOODLUCK"""
"""Godawari Power And Ispat limited""","""GPIL"""
"""Gujarat Pipavav Port Limited""","""GPPL"""
"""GPT Infraprojects Limited""","""GPTINFRA"""
"""Granules India Limited""","""GRANULES"""
"""Graphite India Limited""","""GRAPHITE"""
"""Grasim Industries Limited""","""GRASIM"""
"""Gravita India Limited""","""GRAVITA"""
"""Greaves Cotton Limited""","""GREAVESCOT"""
"""Greenlam Industries Limited""","""GREENLAM"""
"""Greenply Industries Limited""","""GREENPLY"""
"""Orient Green Power Company Limited""","""GREENPOWER"""
"""Grindwell Norton Limited""","""GRINDWELL"""
"""The Grob Tea Company Limited""","""GROBTEA"""
"""GRP Limited""","""GRPLTD"""
"""Gruh Finance Limited""","""GRUH"""
"""Gujarat Sidhee Cement Limited""","""GSCLCEMENT"""
"""Gujarat State Fertilizers & Chemicals Limited""","""GSFC"""
"""Gujarat State Fertilizers & Chemicals Limited""","""GSFC"""
"""GlaxoSmithKline Consumer Healthcare Limited""","""GSKCONS"""
"""Gujarat State Petronet Limited""","""GSPL"""
"""GSS Infotech Limited""","""GSS"""
"""GTL Limited""","""GTL"""
"""GTL Infrastructure Limited""","""GTLINFRA"""
"""GTN Industries Limited""","""GTNIND"""
"""GTN Textiles Limited""","""GTNTEX"""
"""GOL Offshore Limited""","""GTOFFSHORE"""
"""GTPL Hathway Limited""","""GTPL"""
"""Gufic Biosciences Limited""","""GUFICBIO"""
"""Gujarat Alkalies and Chemicals Limited""","""GUJALKALI"""
"""Gujarat Apollo Industries Limited""","""GUJAPOLLO"""
"""Gujarat Fluorochemicals Limited""","""GUJFLUORO"""
"""Gujarat Gas Limited""","""GUJGASLTD"""
"""Gujarat NRE Coke Limited""","""GUJNRECOKE"""
"""Gujarat NRE Coke Limited""","""GUJNREDVR"""
"""Gulf Oil Lubricants India Limited""","""GULFOILLUB"""
"""GP Petroleums Limited""","""GULFPETRO"""
"""Gulshan Polyols Limited""","""GULPOLY"""
"""GVK Power & Infrastructure Limited""","""GVKPIL"""
"""Hanung Toys and Textiles Limited""","""HANUNG"""
"""Harita Seating Systems Limited""","""HARITASEAT"""
"""Harrisons  Malayalam Limited""","""HARRMALAYA"""
"""Hathway Cable & Datacom Limited""","""HATHWAY"""
"""Hatsun Agro Product Limited""","""HATSUN"""
"""Havells India Limited""","""HAVELLS"""
"""HBL Power Systems Limited""","""HBLPOWER"""
"""HB Stockholdings Limited""","""HBSTOCK"""
"""Hindustan Construction Company Limited""","""HCC"""
"""Healthcare Global Enterprises Limited""","""HCG"""
